beta,seed,mean_relevant_information,mean_roi_event_fraction,mean_roi_event_density,roi_empty_fraction,mean_total_event_mass,mean_roi_event_mass,n_fixations,unique_cells,revisit_fraction,consecutive_same_cell_fraction,mean_saccade_length_px,median_saccade_length_px,std_saccade_length_px
27,0,0.15685543727674728,0.1709794276422456,0.24013151006219494,0.0,4287.431372549019,674.5294117647059,50,20,0.6,0.14285714285714285,60.26281363014155,70.0071439503257,37.81181420374888
27,1,0.15696581298676085,0.17099796058527544,0.24104097097940405,0.0,4287.431372549019,676.9019607843137,50,15,0.7,0.10204081632653061,57.83238695077823,57.28567667093698,36.97884556845246
27,2,0.15902631052772245,0.17327058712687463,0.2432667558332323,0.0,4287.431372549019,681.5490196078431,50,16,0.6799999999999999,0.2653061224489796,54.94616159937411,60.61314473542457,40.85901767658478
27,3,0.153449581181135,0.1675634699755612,0.23409455722790912,0.0,4287.431372549019,655.7843137254902,50,17,0.6599999999999999,0.10204081632653061,55.68421927643977,58.194662647513724,38.69454384759398
27,4,0.16051257526439022,0.17458638600536366,0.24778198926419975,0.0,4287.431372549019,696.0196078431372,50,13,0.74,0.20408163265306123,57.731636863567665,77.80745040984021,37.92911948692134
28,0,0.1584166181136722,0.1725035126313151,0.24449848662668425,0.0,4287.431372549019,684.8627450980392,50,19,0.62,0.16326530612244897,61.006476969905286,67.73636675531206,39.724926277092266
28,1,0.15625913621019363,0.17024873496139872,0.24014050399303677,0.0,4287.431372549019,674.3725490196078,50,16,0.6799999999999999,0.12244897959183673,53.738097498061336,51.328069920613316,38.22560499572052
28,2,0.15927776057258375,0.17352430987034603,0.24374840096547534,0.0,4287.431372549019,682.9019607843137,50,14,0.72,0.22448979591836735,54.787116302433624,65.76402901642413,41.40618175180624
28,3,0.15808691774560987,0.17229443050137225,0.24217083864827363,0.0,4287.431372549019,678.4705882352941,50,17,0.6599999999999999,0.10204081632653061,56.752398133741906,62.79364520178356,39.65331393552432
28,4,0.15892985546402388,0.17295815127189398,0.24517831340439336,0.0,4287.431372549019,688.7058823529412,50,13,0.74,0.20408163265306123,58.84160188514431,76.64335632728546,38.325264351210706
29,0,0.15885334310338192,0.17302649412857163,0.24406145512672842,0.0,4287.431372549019,683.3725490196078,50,18,0.64,0.16326530612244897,61.416639841363306,72.34439499173075,39.7295400249772
29,1,0.15606404403684188,0.17004432860697224,0.2398403483309143,0.0,4287.431372549019,673.5294117647059,50,15,0.7,0.16326530612244897,54.31869967036833,57.75627226805706,39.755740039902754
29,2,0.15726643638159063,0.1713997080719468,0.24110284292025652,0.0,4287.431372549019,675.4705882352941,50,18,0.64,0.22448979591836735,55.64846100201962,64.29440534301222,40.35106923126946
29,3,0.15323221474240856,0.1673368479901341,0.23374553901613884,0.0,4287.431372549019,654.8039215686274,50,16,0.6799999999999999,0.12244897959183673,53.32279172300856,51.98474358640386,35.92714687899179
29,4,0.15656108086014797,0.17052726813724,0.24130864110027717,0.0,4287.431372549019,677.6470588235294,50,16,0.6799999999999999,0.16326530612244897,62.71218346397953,77.63684049737887,38.92842207411151
30,0,0.15787879192992654,0.1720799447344206,0.24089236976385422,0.0,4287.431372549019,676.6666666666666,50,17,0.6599999999999999,0.16326530612244897,60.68075228316892,72.41557860273696,36.28534555917428
30,1,0.1567795390997821,0.1707719199190075,0.24111775498599353,0.0,4287.431372549019,677.1176470588235,50,13,0.74,0.16326530612244897,54.46201776879418,57.75627226805706,39.57333218913395
30,2,0.15792271533314603,0.17205104460199921,0.24254079795275016,0.0,4287.431372549019,679.5098039215686,50,15,0.7,0.20408163265306123,52.343309284542585,65.66952163994182,40.142470939675825
30,3,0.15661403478791028,0.17083927006458977,0.2389877925569286,0.0,4287.431372549019,669.5294117647059,50,17,0.6599999999999999,0.14285714285714285,53.58982093905765,59.25762441829963,36.057885291843405
30,4,0.16178799316748893,0.1759588689024507,0.24925229560016895,0.0,4287.431372549019,699.9607843137255,50,14,0.72,0.20408163265306123,58.12412292596345,72.46268921684997,38.62572114650405
