frame,time_s,frame_path,camera_x,camera_y,camera_z,pan_rad,tilt_rad,pan_deg,tilt_deg,drift_pan_deg,drift_tilt_deg,delta_drift_pan_deg,delta_drift_tilt_deg
63,0.063,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00063.png,0.0,-0.25,1.5,-0.0014167401183102506,0.013774515278094184,-0.08117322944604229,0.7892215902732682,-0.08117322944604229,0.7892215902732682,-0.14227417685154134,0.02326075118216888
64,0.064,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00064.png,0.0,-0.25,1.5,-0.00240904611183954,0.012156902249548695,-0.13802817486080654,0.6965391908522365,-0.13802817486080654,0.6965391908522365,-0.05685494541476426,-0.09268239942103174
65,0.065,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00065.png,0.0,-0.25,1.5,-0.004229426406750123,0.012578530812404471,-0.24232828286796307,0.7206967280260388,-0.24232828286796307,0.7206967280260388,-0.10430010800715656,0.024157537173802316
66,0.066,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00066.png,0.0,-0.25,1.5,-0.0036034257619932974,0.014655842148256685,-0.20646108795092863,0.8397179003050538,-0.20646108795092863,0.8397179003050538,0.035867194917034446,0.11902117227901499
67,0.067,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00067.png,0.0,-0.25,1.5,-0.003627711440000203,0.016292360215137067,-0.207852554803338,0.9334834786342079,-0.207852554803338,0.9334834786342079,-0.0013914668524093734,0.09376557832915398
68,0.068,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00068.png,0.0,-0.25,1.5,-0.0011802976187913583,0.018099036171606717,-0.06762607212608576,1.0369983858876801,-0.06762607212608576,1.0369983858876801,0.14022648267725224,0.10351490725347229
69,0.069,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00069.png,0.0,-0.25,1.5,-0.005308531716273015,0.020029048044524142,-0.30415646275378316,1.1475799206159878,-0.30415646275378316,1.1475799206159878,-0.23653039062769743,0.11058153472830788
70,0.07,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00070.png,0.0,-0.25,1.5,-0.004715782981314104,0.020694706528987084,-0.2701944619289189,1.1857193423727892,-0.2701944619289189,1.1857193423727892,0.033962000824864266,0.03813942175680125
71,0.07100000000000001,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00071.png,0.0,-0.25,1.5,-0.004067868909996692,0.02129594007039484,-0.233071720155293,1.2201674867971575,-0.233071720155293,1.2201674867971575,0.037122741773625886,0.03444814442436848
72,0.07200000000000001,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00072.png,0.0,-0.25,1.5,-0.0035103859278872523,0.02073216036370457,-0.2011302981300549,1.1878652890286816,-0.2011302981300549,1.1878652890286816,0.03194142202523809,-0.03230219776847584
73,0.073,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00073.png,0.0,-0.25,1.5,-0.00682936564076784,0.020561077509173725,-0.39129382796765433,1.1780629635170137,-0.39129382796765433,1.1780629635170137,-0.19016352983759946,-0.00980232551166809
74,0.074,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00074.png,0.0,-0.25,1.5,-0.008232142346750453,0.022257794229926475,-0.471667012819722,1.2752776706454232,-0.471667012819722,1.2752776706454232,-0.08037318485206767,0.09721470712840966
75,0.075,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00075.png,0.0,-0.25,1.5,-0.00873613497666038,0.022388917012677263,-0.5005436634192597,1.2827904526950542,-0.5005436634192597,1.2827904526950542,-0.028876650599537753,0.007512782049630887
76,0.076,c:\Users\User\Desktop\Github\activeVision\data\renders\airplane_demo\motion_sequence\frames\frame_00076.png,0.0,-0.25,1.5,-0.01021897710365536,0.02158683311572394,-0.585504258980274,1.2368344305842227,-0.585504258980274,1.2368344305842227,-0.08496059556101432,-0.0459560221108314
